case,build,repeat,prefill_tps,decode_tps,output_sha256
ctx8192,baseline,1,1331.46,50.43,
ctx8192,fixed,1,1331.84,50.48,
ctx8192,fixed,2,1331.58,50.53,
ctx8192,baseline,2,1331.52,50.45,
ctx32768,baseline,1,1318.68,50.12,
ctx32768,fixed,1,1318.22,50.15,
ctx32768,fixed,2,1318.11,50.07,
ctx32768,baseline,2,1318.60,50.11,
hamlet-mtp0,baseline,1,167.9,54.79,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
hamlet-mtp0,fixed,1,167.82,54.7,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
hamlet-mtp0,fixed,2,168.41,54.68,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
hamlet-mtp0,baseline,2,169.08,54.7,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
fibonacci-mtp0,baseline,1,160.67,54.68,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
fibonacci-mtp0,fixed,1,159.8,54.64,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
fibonacci-mtp0,fixed,2,159.8,54.67,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
fibonacci-mtp0,baseline,2,161.02,54.75,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
explanation-mtp0,baseline,1,218.29,54.9,be97a5d94a6a828268d7bc12ae9847513c788717b6cc2e0d17909c68ad4dc3f3
explanation-mtp0,fixed,1,218.49,54.82,be97a5d94a6a828268d7bc12ae9847513c788717b6cc2e0d17909c68ad4dc3f3
explanation-mtp0,fixed,2,218.0,54.84,be97a5d94a6a828268d7bc12ae9847513c788717b6cc2e0d17909c68ad4dc3f3
explanation-mtp0,baseline,2,219.36,54.84,be97a5d94a6a828268d7bc12ae9847513c788717b6cc2e0d17909c68ad4dc3f3
hamlet-mtp1,baseline,1,166.65,64.88,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
hamlet-mtp1,fixed,1,168.07,64.76,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
hamlet-mtp1,fixed,2,167.59,64.82,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
hamlet-mtp1,baseline,2,167.42,64.6,e09bc91091f8994f242a6f2c0fc7a72e1b6a3b4a86f4a7baae39c1d5d5439a78
fibonacci-mtp1,baseline,1,158.59,90.59,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
fibonacci-mtp1,fixed,1,158.09,90.5,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
fibonacci-mtp1,fixed,2,158.75,90.47,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
fibonacci-mtp1,baseline,2,159.93,90.56,5eb6552c4a94b43714d145c923104fbf0018a87f999ae5aee860b06f522885c7
explanation-mtp1,baseline,1,218.23,68.92,3788f3029e4292d4f397b98c373b3e880c211436c8001f5202221f9e22b2bc63
explanation-mtp1,fixed,1,217.69,68.72,3788f3029e4292d4f397b98c373b3e880c211436c8001f5202221f9e22b2bc63
explanation-mtp1,fixed,2,215.43,68.64,3788f3029e4292d4f397b98c373b3e880c211436c8001f5202221f9e22b2bc63
explanation-mtp1,baseline,2,217.11,68.91,3788f3029e4292d4f397b98c373b3e880c211436c8001f5202221f9e22b2bc63
